[ultrawidescaledtail10_e750_s45] ep 007/750 train_loss=1.5389 val_raw=67.52 val_ema=10.12 best_raw=69.24@6 best_ema=11.10@6 lr=0.10000 time=7.6s
[ultrawidescaledtail10_e750_s43] ep 007/750 train_loss=1.5306 val_raw=73.02 val_ema=10.08 best_raw=73.02@7 best_ema=12.54@3 lr=0.10000 time=7.6s
[ultrawidescaledtail10_e750_s49] ep 008/750 train_loss=1.5145 val_raw=76.14 val_ema=10.06 best_raw=76.14@8 best_ema=10.74@3 lr=0.10000 time=7.1s
[ultrawidescaledtail10_e750_s42] ep 008/750 train_loss=1.4855 val_raw=73.66 val_ema=9.76 best_raw=73.66@8 best_ema=10.62@1 lr=0.10000 time=7.3s
[ultrawidescaledtail10_e750_s48] ep 008/750 train_loss=1.5255 val_raw=75.52 val_ema=9.74 best_raw=75.52@8 best_ema=10.06@2 lr=0.10000 time=7.5s
[ultrawidescaledtail10_e750_s46] ep 008/750 train_loss=1.4875 val_raw=65.42 val_ema=10.08 best_raw=68.10@6 best_ema=10.08@4 lr=0.10000 time=7.4s
[ultrawidescaledtail10_e750_s47] ep 008/750 train_loss=1.4958 val_raw=73.40 val_ema=10.08 best_raw=73.40@8 best_ema=10.08@2 lr=0.10000 time=7.5s
[ultrawidescaledtail10_e750_s44] ep 008/750 train_loss=1.4907 val_raw=52.86 val_ema=10.08 best_raw=68.94@6 best_ema=13.88@1 lr=0.10000 time=7.2s
[ultrawidescaledtail10_e750_s43] ep 008/750 train_loss=1.4382 val_raw=63.54 val_ema=10.08 best_raw=73.02@7 best_ema=12.54@3 lr=0.10000 time=7.2s
[ultrawidescaledtail10_e750_s45] ep 008/750 train_loss=1.5067 val_raw=72.02 val_ema=10.08 best_raw=72.02@8 best_ema=11.10@6 lr=0.10000 time=7.7s
[ultrawidescaledtail10_e750_s49] ep 009/750 train_loss=1.3982 val_raw=77.90 val_ema=10.08 best_raw=77.90@9 best_ema=10.74@3 lr=0.09999 time=7.6s
[ultrawidescaledtail10_e750_s42] ep 009/750 train_loss=1.4688 val_raw=76.40 val_ema=9.76 best_raw=76.40@9 best_ema=10.62@1 lr=0.09999 time=7.4s
[ultrawidescaledtail10_e750_s48] ep 009/750 train_loss=1.4445 val_raw=74.24 val_ema=10.30 best_raw=75.52@8 best_ema=10.30@9 lr=0.09999 time=7.6s
[ultrawidescaledtail10_e750_s46] ep 009/750 train_loss=1.4743 val_raw=74.48 val_ema=10.08 best_raw=74.48@9 best_ema=10.08@4 lr=0.09999 time=7.4s
[ultrawidescaledtail10_e750_s47] ep 009/750 train_loss=1.4143 val_raw=68.50 val_ema=10.08 best_raw=73.40@8 best_ema=10.08@2 lr=0.09999 time=7.4s
[ultrawidescaledtail10_e750_s44] ep 009/750 train_loss=1.4341 val_raw=77.88 val_ema=10.10 best_raw=77.88@9 best_ema=13.88@1 lr=0.09999 time=7.5s
[ultrawidescaledtail10_e750_s43] ep 009/750 train_loss=1.4410 val_raw=75.76 val_ema=10.08 best_raw=75.76@9 best_ema=12.54@3 lr=0.09999 time=7.2s
[ultrawidescaledtail10_e750_s45] ep 009/750 train_loss=1.5282 val_raw=72.80 val_ema=10.04 best_raw=72.80@9 best_ema=11.10@6 lr=0.09999 time=7.9s
[ultrawidescaledtail10_e750_s49] ep 010/750 train_loss=1.4067 val_raw=78.50 val_ema=10.08 best_raw=78.50@10 best_ema=10.74@3 lr=0.09999 time=7.6s
[ultrawidescaledtail10_e750_s42] ep 010/750 train_loss=1.4094 val_raw=77.22 val_ema=9.76 best_raw=77.22@10 best_ema=10.62@1 lr=0.09999 time=7.4s
[ultrawidescaledtail10_e750_s46] ep 010/750 train_loss=1.4182 val_raw=76.96 val_ema=10.08 best_raw=76.96@10 best_ema=10.08@4 lr=0.09999 time=7.1s
[ultrawidescaledtail10_e750_s48] ep 010/750 train_loss=1.3652 val_raw=70.84 val_ema=10.54 best_raw=75.52@8 best_ema=10.54@10 lr=0.09999 time=7.4s
[ultrawidescaledtail10_e750_s47] ep 010/750 train_loss=1.4787 val_raw=77.42 val_ema=10.08 best_raw=77.42@10 best_ema=10.08@2 lr=0.09999 time=7.5s
[ultrawidescaledtail10_e750_s44] ep 010/750 train_loss=1.4872 val_raw=70.64 val_ema=10.08 best_raw=77.88@9 best_ema=13.88@1 lr=0.09999 time=7.1s
[ultrawidescaledtail10_e750_s43] ep 010/750 train_loss=1.4471 val_raw=79.38 val_ema=10.08 best_raw=79.38@10 best_ema=12.54@3 lr=0.09999 time=7.6s
[ultrawidescaledtail10_e750_s45] ep 010/750 train_loss=1.4227 val_raw=74.18 val_ema=10.42 best_raw=74.18@10 best_ema=11.10@6 lr=0.09999 time=7.6s
[ultrawidescaledtail10_e750_s49] ep 011/750 train_loss=1.3512 val_raw=80.00 val_ema=10.08 best_raw=80.00@11 best_ema=10.74@3 lr=0.09998 time=7.4s
[ultrawidescaledtail10_e750_s42] ep 011/750 train_loss=1.4318 val_raw=79.32 val_ema=9.76 best_raw=79.32@11 best_ema=10.62@1 lr=0.09998 time=7.3s
[ultrawidescaledtail10_e750_s48] ep 011/750 train_loss=1.3951 val_raw=78.80 val_ema=10.36 best_raw=78.80@11 best_ema=10.54@10 lr=0.09998 time=7.1s
[ultrawidescaledtail10_e750_s46] ep 011/750 train_loss=1.4171 val_raw=78.90 val_ema=10.08 best_raw=78.90@11 best_ema=10.08@4 lr=0.09998 time=7.5s
[ultrawidescaledtail10_e750_s47] ep 011/750 train_loss=1.4205 val_raw=77.60 val_ema=10.08 best_raw=77.60@11 best_ema=10.08@2 lr=0.09998 time=7.4s
[ultrawidescaledtail10_e750_s44] ep 011/750 train_loss=1.3721 val_raw=76.08 val_ema=10.08 best_raw=77.88@9 best_ema=13.88@1 lr=0.09998 time=7.7s
[ultrawidescaledtail10_e750_s43] ep 011/750 train_loss=1.4595 val_raw=68.64 val_ema=10.08 best_raw=79.38@10 best_ema=12.54@3 lr=0.09998 time=7.4s
[ultrawidescaledtail10_e750_s45] ep 011/750 train_loss=1.4170 val_raw=77.16 val_ema=10.14 best_raw=77.16@11 best_ema=11.10@6 lr=0.09998 time=7.6s
[ultrawidescaledtail10_e750_s49] ep 012/750 train_loss=1.3642 val_raw=79.50 val_ema=10.06 best_raw=80.00@11 best_ema=10.74@3 lr=0.09998 time=7.0s
[ultrawidescaledtail10_e750_s42] ep 012/750 train_loss=1.3727 val_raw=79.88 val_ema=9.72 best_raw=79.88@12 best_ema=10.62@1 lr=0.09998 time=7.5s
